2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Camden 019A,E01000856,50,,0,,0,,0,,5,,5,,20,,0,,0,,0,,0,,75,,0,,160,,700,,0,,5,,130
Camden 019C,E01000957,75,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,10,,0,,45,,0,,0,,0,,5
Camden 019D,E01000958,0,,0,,0,,0,,0,,10,,400,,200,,0,,0,,5,,30,,25,,1750,,0,,225,,175,,30
Camden 019E,E01000959,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,5,,0,,5,,5,,5
Camden 020A,E01000929,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,35,,0,,50,,20,,15
Camden 020B,E01000930,0,,0,,0,,0,,0,,15,,20,,5,,50,,0,,5,,30,,0,,325,,0,,0,,75,,20
Camden 020C,E01000933,5,,0,,0,,0,,0,,0,,5,,0,,15,,0,,0,,15,,0,,70,,0,,25,,75,,20
Camden 020D,E01000934,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,200,,0,,0,,125,,150
Camden 020E,E01000935,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,0,,0
Camden 021A,E01000863,20,,0,,0,,0,,0,,15,,20,,10,,150,,0,,0,,125,,50,,900,,0,,200,,650,,1125
Camden 021B,E01000946,600,,0,,0,,5,,0,,0,,40,,50,,1250,,0,,30,,3000,,300,,1750,,1000,,30,,750,,110
Camden 021C,E01000947,400,,0,,0,,5,,5,,10,,125,,0,,25,,0,,5,,35,,0,,950,,0,,5,,300,,120
Camden 021D,E01000948,5,,0,,0,,0,,0,,0,,50,,0,,0,,0,,50,,10,,0,,170,,0,,10,,35,,100
Camden 022A,E01000952,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5,,0,,5,,1250,,450,,10,,5
Camden 022B,E01000953,0,,0,,0,,0,,0,,5,,15,,5,,0,,0,,5,,10,,0,,15,,125,,75,,75,,50
Camden 022C,E01000954,0,,0,,0,,0,,0,,0,,75,,0,,0,,0,,20,,0,,0,,175,,0,,50,,20,,0
Camden 022D,E01000955,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,100,,100,,50,,0
Camden 022E,E01000956,100,,0,,0,,0,,5,,0,,25,,0,,0,,0,,0,,40,,0,,475,,75,,225,,75,,1250
Camden 023C,E01000949,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,125,,10
Camden 023D,E01000950,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Camden 023E,E01000951,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Camden 023A,E01000944,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,40,,0,,10,,15
Camden 023B,E01000945,50,,0,,0,,0,,0,,0,,175,,300,,100,,100,,50,,100,,175,,1625,,175,,300,,250,,100
