2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Barnet 004F,E01000294,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,0,,10,,0,,30,,0,,0,,2250,,5
Barnet 004B,E01000287,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,5,,0,,15,,0,,50,,20,,0
Barnet 004C,E01000288,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,10,,0,,10,,0,,100
Barnet 004D,E01000289,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,50,,5
Barnet 004A,E01000285,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,10,,0,,0,,25,,0
Barnet 004E,E01000291,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,100,,5,,0
Barnet 005A,E01000267,5,,0,,0,,0,,0,,0,,30,,150,,30,,0,,0,,5,,0,,30,,0,,0,,35,,0
Barnet 005B,E01000268,0,,0,,0,,0,,0,,15,,175,,5,,240,,25,,0,,10,,0,,180,,125,,50,,35,,40
Barnet 005C,E01000269,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,10,,0,,20,,0,,0,,45,,5
Barnet 005D,E01000270,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,0,,5,,0,,20,,0,,5,,40,,0
Barnet 006C,E01000173,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,40,,0,,75,,5,,5
Barnet 006D,E01000174,0,,0,,0,,0,,0,,5,,5,,0,,5,,5,,10,,5,,0,,25,,0,,40,,20,,5
Barnet 006E,E01000175,5,,0,,0,,0,,0,,5,,15,,0,,0,,0,,5,,10,,0,,15,,0,,0,,0,,0
Barnet 006A,E01000170,0,,0,,0,,0,,0,,40,,45,,0,,0,,0,,5,,15,,0,,50,,0,,20,,50,,50
Barnet 006B,E01000171,45,,0,,0,,0,,0,,45,,150,,20,,5,,0,,75,,25,,0,,100,,40,,45,,45,,75
Barnet 007A,E01000228,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,15,,0,,350,,0,,20
Barnet 007C,E01000279,0,,0,,0,,0,,0,,0,,10,,0,,5,,0,,5,,0,,5,,80,,0,,35,,50,,10
Barnet 007D,E01000280,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,30,,0,,0,,5,,40
Barnet 007B,E01000253,0,,0,,0,,0,,0,,15,,5,,0,,0,,0,,5,,5,,0,,40,,0,,0,,100,,20
Barnet 007E,E01000286,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Barnet 007F,E01000290,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,50,,0,,0,,5,,5
Barnet 008D,E01000281,10,,15,,0,,0,,0,,0,,80,,40,,150,,0,,40,,60,,0,,1125,,500,,150,,150,,75
Barnet 008E,E01000282,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,25,,0,,40,,0,,0,,5,,5
Barnet 008A,E01000271,5,,0,,0,,0,,0,,0,,10,,0,,0,,0,,5,,10,,0,,25,,0,,0,,20,,5
Barnet 008B,E01000272,0,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,10,,0,,30,,0,,75,,175,,0
Barnet 008C,E01000273,5,,0,,0,,0,,0,,20,,75,,75,,30,,0,,0,,20,,0,,800,,0,,0,,50,,10
Barnet 009C,E01000119,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,20,,0,,35,,0,,0,,5,,5
Barnet 009D,E01000120,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,15,,0,,75,,0,,5
Barnet 009E,E01000122,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,10,,0,,0,,5,,5
Barnet 009A,E01000115,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,30,,0,,5,,45,,0
Barnet 009B,E01000116,0,,0,,0,,0,,5,,5,,5,,0,,0,,0,,0,,5,,0,,25,,0,,0,,125,,15
Barnet 010A,E01000117,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,10,,0,,15,,0,,45,,20,,25
Barnet 010B,E01000118,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,40,,20,,10
Barnet 010D,E01000123,10,,0,,0,,0,,0,,0,,75,,10,,0,,0,,0,,5,,0,,150,,2000,,350,,25,,0
Barnet 010E,E01000124,0,,0,,0,,0,,0,,25,,25,,0,,0,,0,,0,,15,,0,,5,,0,,30,,15,,5
Barnet 010C,E01000121,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,125,,0
Barnet 011C,E01000274,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,15,,0,,10,,20,,5
Barnet 011A,E01000265,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,5,,0,,20,,0,,75,,40,,0
Barnet 011B,E01000266,0,,0,,0,,0,,0,,0,,20,,0,,5,,0,,0,,5,,0,,50,,0,,0,,10,,40
Barnet 011D,E01000320,0,,0,,0,,0,,0,,15,,35,,5,,0,,0,,15,,30,,0,,110,,125,,10,,200,,5
Barnet 011E,E01000322,0,,0,,0,,0,,0,,5,,20,,0,,5,,0,,0,,0,,0,,20,,0,,0,,50,,15
Barnet 012E,E01000321,5,,0,,0,,0,,0,,25,,15,,40,,125,,0,,15,,20,,0,,275,,25,,0,,75,,30
Barnet 012B,E01000277,0,,0,,0,,0,,0,,0,,5,,75,,15,,0,,0,,10,,0,,25,,0,,30,,45,,0
Barnet 012C,E01000283,0,,0,,0,,0,,0,,0,,10,,0,,5,,0,,5,,15,,0,,35,,0,,35,,15,,0
Barnet 012D,E01000284,40,,0,,0,,0,,0,,200,,0,,0,,0,,0,,0,,5,,0,,150,,0,,200,,125,,10
Barnet 012A,E01000275,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,30,,0,,0,,125,,5
Barnet 013B,E01000229,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,10,,5,,0
Barnet 013C,E01000230,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,25,,0,,10,,100,,5
Barnet 013D,E01000231,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,40,,0,,0,,5,,0
Barnet 013E,E01000232,5,,0,,0,,0,,0,,5,,10,,0,,0,,0,,0,,20,,0,,15,,0,,5,,5,,0
Barnet 013F,E01000233,5,,0,,0,,0,,0,,10,,15,,0,,0,,0,,0,,15,,0,,30,,0,,100,,20,,5
Barnet 013A,E01000195,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,75,,0
Barnet 014A,E01000186,0,,0,,0,,0,,0,,0,,15,,0,,10,,0,,5,,5,,0,,45,,0,,40,,5,,10
Barnet 014B,E01000187,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,5,,0,,25,,0,,125,,25,,0
Barnet 014C,E01000188,0,,0,,0,,0,,0,,5,,30,,5,,0,,0,,0,,10,,0,,35,,0,,100,,15,,0
Barnet 014D,E01000189,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,,0,,0,,20,,0
Barnet 014E,E01000190,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5,,10,,0,,35,,0,,5,,20,,0
Barnet 014F,E01000191,0,,0,,0,,0,,0,,5,,25,,0,,0,,0,,0,,10,,0,,30,,0,,0,,50,,75
Barnet 015A,E01000158,0,,0,,0,,0,,0,,0,,5,,0,,0,,20,,0,,0,,0,,25,,0,,250,,20,,15
Barnet 015B,E01000159,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,15,,0,,15,,5,,10
Barnet 015C,E01000160,0,,0,,0,,0,,25,,25,,20,,0,,0,,0,,0,,10,,0,,35,,0,,0,,75,,10
Barnet 015D,E01000161,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,25,,0,,45,,40,,0
Barnet 015E,E01000162,5,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,0,,0,,35,,0,,0,,150,,0
Barnet 015F,E01000324,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,40,,0,,0,,35,,0
Barnet 016A,E01000256,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,20,,0,,125,,15,,5
Barnet 016B,E01000258,10,,0,,0,,0,,0,,35,,150,,50,,5,,0,,5,,35,,0,,80,,35,,5,,125,,30
Barnet 016C,E01000263,0,,0,,0,,0,,0,,0,,15,,0,,5,,0,,0,,15,,0,,40,,0,,20,,5,,15
Barnet 016D,E01000264,45,,0,,0,,0,,0,,15,,30,,5,,50,,0,,5,,10,,0,,90,,0,,20,,50,,15
Barnet 017C,E01000261,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,5,,0,,40,,0,,100,,75,,10
Barnet 017D,E01000262,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,0,,5,,700,,20,,5,,125,,30,,5
Barnet 017B,E01000257,0,,35,,0,,0,,0,,20,,5,,0,,0,,0,,0,,5,,0,,5,,600,,10,,15,,15
Barnet 017A,E01000255,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,15,,0,,225,,75,,0
Barnet 018A,E01000192,10,,0,,0,,0,,0,,0,,50,,5,,125,,0,,10,,20,,0,,400,,0,,45,,40,,75
Barnet 018B,E01000193,5,,0,,0,,0,,0,,15,,45,,100,,75,,0,,100,,40,,0,,400,,0,,25,,75,,75
Barnet 018C,E01000194,40,,10,,0,,0,,0,,75,,10,,15,,25,,5,,10,,30,,0,,190,,0,,125,,100,,20
Barnet 018D,E01000226,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Barnet 018E,E01000227,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,,0,,45,,0,,0,,0,,0
Barnet 019F,E01000323,5,,0,,0,,0,,0,,25,,30,,0,,35,,0,,15,,70,,0,,100,,0,,30,,230,,25
Barnet 019D,E01000317,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,15,,0,,70,,0,,0,,75,,10
Barnet 019E,E01000318,0,,0,,0,,0,,0,,5,,20,,40,,0,,0,,0,,20,,0,,20,,0,,100,,50,,0
Barnet 019A,E01000299,10,,0,,0,,0,,0,,15,,40,,25,,30,,0,,10,,130,,0,,325,,0,,100,,200,,45
Barnet 019B,E01000300,15,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,30,,0,,150,,100,,10
Barnet 019C,E01000302,25,,5,,10,,5,,0,,0,,50,,0,,5,,0,,15,,25,,0,,275,,10,,150,,100,,20
Barnet 020D,E01000303,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,10,,0,,0,,50,,5
Barnet 020E,E01000304,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,20,,0,,0,,25,,25
Barnet 020C,E01000301,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,35,,0,,35,,0,,5,,100,,5
Barnet 020A,E01000276,0,,0,,0,,0,,0,,5,,10,,5,,0,,0,,0,,10,,0,,25,,0,,0,,0,,0
Barnet 020B,E01000278,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,30,,0,,0,,0,,0
Barnet 021D,E01000234,10,,0,,0,,0,,0,,10,,80,,15,,0,,0,,5,,40,,0,,425,,0,,100,,100,,15
Barnet 021E,E01000235,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,5,,40,,0,,25,,25,,40,,0,,15
Barnet 021A,E01000130,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,75,,0,,50
Barnet 021B,E01000132,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Barnet 021C,E01000133,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,50,,0,,0
Barnet 022C,E01000163,75,,0,,0,,0,,0,,45,,5,,0,,0,,0,,0,,0,,0,,25,,0,,35,,35,,0
Barnet 022D,E01000164,0,,0,,0,,0,,0,,100,,0,,0,,0,,0,,0,,5,,0,,35,,0,,75,,75,,50
Barnet 022E,E01000165,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,35,,0,,0,,0,,5
Barnet 022A,E01000156,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,10,,0,,25,,0,,0,,25,,15
Barnet 022B,E01000157,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,0,,5
Barnet 022F,E01000315,5,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,5,,0,,200,,0,,10
Barnet 023D,E01000298,0,,0,,0,,0,,0,,20,,50,,0,,40,,0,,15,,25,,0,,110,,5,,50,,50,,20
Barnet 023B,E01000295,0,,0,,0,,0,,0,,0,,10,,0,,15,,0,,0,,5,,0,,50,,0,,5,,20,,5
Barnet 023C,E01000296,50,,0,,0,,0,,0,,20,,100,,15,,20,,0,,20,,70,,0,,650,,45,,50,,40,,70
Barnet 023A,E01000197,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,5,,20,,0,,10,,0,,0,,5,,75
Barnet 024F,E01000134,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,0,,0,,75,,0,,0
Barnet 024E,E01000131,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,5,,0,,0,,25,,0
Barnet 024B,E01000127,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0
Barnet 024C,E01000128,0,,0,,0,,0,,0,,125,,0,,0,,0,,0,,0,,5,,0,,0,,0,,75,,0,,0
Barnet 024D,E01000129,0,,0,,0,,0,,0,,0,,75,,0,,15,,0,,0,,0,,0,,25,,0,,25,,35,,10
Barnet 024A,E01000125,0,,20,,0,,0,,0,,15,,15,,0,,0,,0,,0,,10,,0,,150,,20,,0,,1500,,0
Barnet 025A,E01000198,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,25,,0,,150,,5,,5
Barnet 025B,E01000199,0,,0,,0,,5,,0,,0,,25,,0,,5,,0,,0,,15,,0,,20,,0,,15,,10,,50
Barnet 025C,E01000204,0,,0,,0,,0,,0,,0,,15,,50,,0,,0,,5,,15,,0,,80,,0,,125,,20,,10
Barnet 025D,E01000259,0,,0,,0,,0,,0,,15,,10,,0,,0,,0,,0,,10,,0,,25,,0,,0,,35,,200
Barnet 025E,E01000260,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,30,,0,,125,,35,,15
Barnet 026A,E01000126,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,10,,0,,125,,0,,0
Barnet 026B,E01000151,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,175,,100,,15
Barnet 026C,E01000152,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,45,,0,,400,,30,,0
Barnet 026D,E01000153,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Barnet 026E,E01000154,0,,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Barnet 027D,E01000297,0,,0,,0,,0,,0,,0,,175,,0,,0,,0,,0,,5,,0,,250,,250,,50,,75,,5
Barnet 027E,E01000316,0,,0,,0,,0,,0,,10,,10,,0,,0,,0,,0,,10,,0,,25,,0,,35,,300,,225
Barnet 027F,E01000319,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,10,,0,,15,,0,,40,,20,,30
Barnet 027C,E01000184,0,,0,,0,,0,,0,,5,,10,,0,,0,,0,,0,,0,,0,,5,,0,,0,,15,,0
Barnet 027B,E01000178,30,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,5,,0,,35,,0,,75,,35,,20
Barnet 027A,E01000176,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,35,,5
Barnet 028A,E01000196,125,,0,,0,,0,,0,,10,,250,,150,,10,,15,,35,,100,,0,,1625,,250,,75,,175,,50
Barnet 028B,E01000200,0,,0,,0,,0,,0,,0,,10,,0,,5,,0,,0,,10,,0,,40,,0,,5,,5,,15
Barnet 028C,E01000201,5,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,5,,0,,75,,0,,40,,50,,5
Barnet 028D,E01000202,0,,0,,0,,0,,0,,15,,10,,0,,0,,0,,5,,5,,0,,60,,0,,0,,15,,0
Barnet 028E,E01000203,0,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,5,,0,,15,,0,,100,,0,,5
Barnet 029A,E01000177,5,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,10,,0,,160,,0,,0,,15,,25
Barnet 029B,E01000179,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,15,,0,,0,,50,,5
Barnet 029C,E01000180,0,,0,,0,,0,,0,,0,,0,,45,,5,,0,,0,,0,,0,,25,,0,,30,,10,,5
Barnet 029D,E01000181,5,,0,,0,,0,,0,,5,,35,,15,,20,,10,,15,,5,,0,,60,,0,,5,,75,,30
Barnet 029E,E01000182,5,,0,,0,,5,,0,,0,,5,,0,,0,,0,,0,,5,,0,,50,,0,,250,,10,,30
Barnet 029F,E01000185,0,,0,,0,,0,,0,,10,,10,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0
Barnet 030D,E01000155,0,,400,,0,,0,,0,,0,,10,,0,,0,,0,,0,,10,,0,,100,,30,,10,,800,,0
Barnet 030A,E01000147,0,,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,10,,0,,15,,0,,75,,15,,0
Barnet 030B,E01000148,30,,0,,0,,0,,0,,25,,175,,0,,0,,0,,15,,20,,0,,50,,0,,0,,40,,100
Barnet 030C,E01000149,15,,0,,0,,0,,0,,45,,15,,0,,0,,0,,0,,200,,0,,50,,3000,,35,,10,,150
Barnet 031A,E01000239,0,,0,,0,,0,,0,,10,,15,,0,,0,,0,,0,,5,,0,,50,,50,,35,,40,,0
Barnet 031B,E01000240,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,5,,0,,10,,0,,0,,5,,0
Barnet 031C,E01000241,0,,0,,0,,0,,0,,0,,15,,0,,5,,0,,0,,5,,0,,45,,0,,5,,100,,0
Barnet 031D,E01000309,0,,0,,0,,0,,0,,10,,5,,0,,0,,0,,0,,5,,0,,50,,0,,0,,75,,0
Barnet 032B,E01000242,0,,0,,0,,0,,0,,5,,10,,0,,0,,0,,5,,10,,0,,75,,0,,45,,100,,5
Barnet 032C,E01000243,15,,0,,0,,15,,0,,25,,20,,5,,20,,0,,15,,50,,0,,100,,75,,150,,225,,10
Barnet 032D,E01000244,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,25,,15,,0,,75,,0
Barnet 032E,E01000245,5,,0,,0,,0,,0,,15,,40,,75,,20,,0,,0,,35,,0,,80,,0,,75,,100,,10
Barnet 032A,E01000237,0,,5,,0,,0,,0,,0,,50,,10,,40,,0,,5,,45,,0,,80,,0,,450,,125,,10
Barnet 032F,E01000314,0,,0,,0,,0,,0,,25,,15,,0,,0,,0,,0,,15,,0,,90,,0,,0,,50,,15
Barnet 033B,E01000206,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,5,,5,,0,,45,,0,,175,,225,,35
Barnet 033C,E01000207,0,,0,,0,,0,,0,,0,,20,,0,,15,,0,,0,,5,,0,,45,,0,,5,,50,,15
Barnet 033D,E01000208,5,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,10,,0,,60,,0,,0,,50,,10
Barnet 033E,E01000210,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,40,,0,,175,,5,,5
Barnet 033F,E01000213,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,5,,10,,0,,30,,0,,50,,0,,5
Barnet 033A,E01000183,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,5,,10,,0,,20,,0,,75,,100,,20
Barnet 034B,E01000238,0,,0,,0,,0,,5,,0,,15,,0,,0,,0,,5,,45,,0,,30,,0,,150,,10,,0
Barnet 034A,E01000236,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,25,,0,,75,,10,,5
Barnet 034C,E01000310,0,,0,,0,,0,,0,,5,,15,,0,,50,,0,,0,,5,,0,,140,,0,,15,,50,,0
Barnet 034D,E01000311,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,0,,5,,0,,10,,0,,100,,0,,5
Barnet 035C,E01000211,5,,0,,0,,0,,0,,125,,90,,100,,50,,0,,5,,10,,0,,375,,50,,100,,200,,20
Barnet 035D,E01000212,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,35,,0,,25,,25,,5
Barnet 035B,E01000209,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,30,,0,,100,,15,,15
Barnet 035E,E01000216,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,45,,0,,35,,0,,45,,50,,0
Barnet 035F,E01000217,0,,0,,0,,0,,0,,0,,45,,0,,0,,0,,0,,5,,0,,80,,0,,0,,25,,5
Barnet 035A,E01000205,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,10,,0,,40,,0,,100,,10,,5
Barnet 036E,E01000312,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,75,,0,,0
Barnet 036F,E01000313,5,,0,,0,,0,,5,,45,,25,,0,,0,,0,,0,,5,,0,,60,,0,,0,,15,,10
Barnet 036D,E01000308,0,,0,,0,,0,,0,,0,,0,,75,,0,,0,,0,,5,,0,,20,,0,,0,,0,,0
Barnet 036B,E01000305,0,,0,,0,,5,,0,,100,,150,,5,,0,,0,,0,,5,,0,,700,,150,,15,,5,,0
Barnet 036C,E01000306,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,10,,0,,40,,10,,0
Barnet 036A,E01000150,5,,0,,0,,0,,0,,100,,250,,5,,0,,0,,0,,30,,0,,100,,0,,0,,350,,5
Barnet 037A,E01000145,0,,0,,0,,0,,0,,0,,20,,5,,0,,0,,0,,10,,0,,40,,0,,50,,45,,5
Barnet 037F,E01000225,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,5,,0,,25,,0,,0,,15,,5
Barnet 037C,E01000218,5,,0,,0,,0,,0,,0,,20,,0,,5,,0,,0,,0,,0,,30,,0,,0,,50,,50
Barnet 037D,E01000219,5,,0,,0,,0,,0,,0,,10,,0,,0,,0,,5,,5,,0,,40,,0,,10,,0,,0
Barnet 037E,E01000220,5,,0,,0,,0,,0,,45,,10,,0,,0,,0,,0,,10,,0,,250,,0,,50,,250,,0
Barnet 037B,E01000215,35,,0,,0,,0,,0,,0,,25,,0,,5,,0,,20,,10,,0,,425,,0,,20,,50,,5
Barnet 038E,E01000214,5,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,15,,0,,80,,0,,15,,15,,25
Barnet 038D,E01000146,35,,0,,0,,0,,0,,0,,50,,30,,100,,0,,5,,5,,0,,140,,0,,0,,100,,20
Barnet 038C,E01000144,5,,0,,0,,0,,0,,10,,50,,0,,15,,0,,5,,15,,0,,170,,0,,10,,75,,50
Barnet 038A,E01000135,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,5,,20,,0,,200,,0,,15,,300,,25
Barnet 038B,E01000136,5,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,15,,0,,70,,0,,50,,40,,20
Barnet 039A,E01000141,5,,0,,0,,0,,0,,0,,35,,10,,10,,0,,0,,10,,0,,25,,0,,10,,25,,150
Barnet 039C,E01000223,0,,0,,0,,0,,0,,5,,300,,0,,0,,0,,0,,5,,0,,30,,0,,25,,150,,50
Barnet 039B,E01000221,0,,0,,0,,0,,0,,0,,30,,0,,5,,0,,0,,5,,0,,75,,0,,225,,40,,100
Barnet 039D,E01000307,0,,0,,0,,0,,5,,15,,15,,0,,30,,0,,0,,15,,0,,20,,0,,50,,0,,0
Barnet 040C,E01000222,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,5,,0,,20,,0,,0,,25,,75
Barnet 040D,E01000224,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,35,,0,,0,,15,,0
Barnet 040B,E01000142,10,,0,,0,,0,,0,,0,,25,,150,,5,,0,,0,,5,,0,,45,,0,,50,,125,,0
Barnet 040A,E01000138,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,75,,20,,0
Barnet 041B,E01000139,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,0,,0,,40,,0,,35,,45,,20
Barnet 041C,E01000140,0,,15,,0,,0,,0,,10,,15,,0,,0,,0,,10,,5,,0,,30,,0,,0,,75,,10
Barnet 041D,E01000143,0,,0,,0,,0,,0,,5,,20,,0,,0,,0,,0,,20,,0,,10,,0,,0,,0,,0
Barnet 041A,E01000137,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,5,,5,,0,,25,,0,,0,,100,,5
Bexley 001A,E01000466,5,,10,,0,,10,,0,,5,,200,,15,,0,,0,,0,,5,,0,,75,,35,,300,,50,,0
Bexley 001B,E01000467,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,25,,0,,0
Bexley 001C,E01000468,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,5,,0,,0,,0,,25
Bexley 001D,E01000469,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,50,,0,,0
Bexley 002F,E01000470,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,50,,0
Bexley 002D,E01000464,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,35,,0,,0
Bexley 002E,E01000465,0,,0,,0,,0,,0,,450,,25,,0,,0,,0,,0,,5,,0,,5,,0,,50,,5,,0
Bexley 002B,E01000418,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0
Bexley 002A,E01000416,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,50,,0
Bexley 002C,E01000422,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,0
Bexley 003A,E01000333,0,,0,,0,,0,,0,,15,,20,,0,,20,,0,,0,,0,,0,,40,,0,,10,,100,,25
